year,plot_id,planting_site,original_region,rep,row,column,directionheading,num_leaves_july2019,bolting_july2019,mortality_july2019,vigor_july2019,growth_stage_july2019,avgL_1_july2019,avgW_1_july2019,avgL_2_july2019,avgW_2_july2019,avgL_3_july2019,avgW_3_july2019,leafthickness1_july2019,leafthickness2_july2019,leafthickness3_july2019,PSLESEV_july2019,PSSTSEV_july2019,PSLERES_july2019,BLLEBLSEV_july2019,PHSTSEV_july2019,CVLESEV_july2019,herbdamage_1_july2019,herbpercjuly2019,MOCRLE_july2019,MOTTLE_july2019,bolting_sept2019,mortality_sept2019,vigor_sept2019,growth_stage_sept2019,PSLESEV_sept2019,PSLERES_sept2019,avg_PSLERES_sept2019,PSSTSEV_sept2019,BLLEBLSEV_sept2019,PHSTSEV_sept2019,CLVESEV_sept2019,DM_sept2019
2019,E2_SIL,e,e,3,16,5,E,6,0,0,5,1.5,20,6,18,5,22,5,0.663,0.735,0.732,0.01,0,2,0,0,0,3,10,NA,NA,0,0,6,1.5,15,3.111111111,3.25,0,0,0,0,0
2019,W1_SIL,e,w,3,16,8,E,4,0,0,3,1.2,12,4,12,4,15,4,0.55,0.745,0.86,0.01,0,2,0,0,0,1,10,NA,NA,0,0,4,1.4,0.1,2,2,0,0.1,0,0,0
2019,E1_SIL,e,e,4,17,6,W,7,0,0,5,1.6,17,6,15,5,16,6,0.655,0.688,0.723,0.01,0,2,0,0,0,7,10,NA,NA,1,0,7,1.8,20,3.111111111,3,20,0,0,0,0
2019,C4_SIL,e,c,4,17,7,W,7,0,0,6,1.8,21,5,20,5,22,6,0.622,0.675,0.695,0.2,0,2,0,0,0,3,10,NA,NA,0,0,6,1.5,15,3.555555556,3.5,0,0.02,0,0,0
2019,E4_SIL,e,e,4,17,8,W,6,0,0,4,1.5,16,5,21,4,15,5,0.656,0.7,0.54,0.01,0,2,0,0,0,1,10,NA,NA,0,0,5,1.5,10,3.333333333,3.25,0,0,0,0,0
2019,W2_SIL,e,w,4,18,2,E,6,0,0,3,1.4,17,4,15,4,13,4,0.587,0.58,0.651,0.01,0,2,0,0,0,2,10,NA,NA,0,0,6,1.5,0.1,1.888888889,1.875,0,0.1,0,0,0
2019,C2_SIL,e,c,4,18,4,E,5,0,0,4,1.4,17,5,19,7,21,5,0.651,0.66,0.625,0.01,0,2,0.01,0,0,2,10,NA,NA,0,0,7,1.7,10,2.888888889,3.125,0,0,0,0,0
2019,E2_SIL,e,e,4,18,6,E,6,0,0,4,1.4,18,5,15,4,16,5,0.75,0.723,0.734,0.01,0,2,0,0,0,2,10,NA,NA,0,0,6,1.6,30,3.666666667,3.625,0,0,0,0,0
2019,W3_SIL,e,w,4,19,7,W,6,0,0,4,1.5,19,6,17,7,19,4,0.645,0.581,0.6,0.01,0,2,0,0,0,2,10,NA,NA,0,0,7,1.7,0.2,2,2,0,0.02,0,0,0
2019,W4_SIL,e,w,4,20,4,E,4,0,0,3,1.2,17,4,12,6,13,5,0.561,0.504,0.62,0,0,0,0.01,0,0,3,10,NA,NA,0,0,6,1.5,0.1,1.888888889,2,0,0,0,0,0
2019,E3_SIL,e,e,4,20,8,E,5,0,0,3,1.3,13,4,14,5,13,5,0.784,0.721,0.793,0.01,0,2,0,0,0,1,10,NA,NA,0,0,5,1.4,10,2.666666667,2.75,0,0,0,0,0
2019,C1_SIL,e,c,4,21,6,W,6,0,0,5,1.4,18,4,19,6,24,5,0.71,0.662,0.625,0.01,0,2,0,0,0,9,10,NA,NA,0,0,8,1.7,1,2.111111111,2.125,0,0,0,0,0
2019,C3_SIL,e,c,4,22,6,E,5,0,0,4,1.4,20,5,24,5,18,6,0.645,0.621,0.664,0.01,0,2,0,0,0,2,10,NA,NA,2,0,8,1.7,2,2.666666667,2.625,0,0,0,0,0
2019,W1_SIL,e,w,4,22,8,E,8,0,0,5,1.4,19,6,21,6,18,6,0.697,0.664,0.706,0.01,0,2,0,0,0,3,10,NA,NA,0,0,7,1.7,0.1,2,2,0,0.01,0,0,0
